Date,Index Value,Absolute Change,Percentage Change
2024-07-29,2661.09,-20.46,-0.76
2024-07-30,2696.65,35.55,1.33
2024-07-31,2760.9,64.25,2.38
2024-08-01,2755.62,-5.29,-0.19
2024-08-05,2796.38,40.76,1.47
2024-08-06,2651.32,-145.05,-5.18
2024-08-07,2759.67,108.35,4.08
2024-08-08,2766.38,6.7,0.24
2024-08-11,2860.91,94.46,3.41
2024-08-12,2931.65,70.81,2.47
2024-08-13,2923.46,-8.18,-0.27
2024-08-14,2957.75,34.29,1.17
2024-08-15,3000.81,43.05,1.45
2024-08-18,2966.33,-34.48,-1.15
2024-08-21,2968.44,2.11,0.07
2024-08-22,2974.46,6.01,0.2
2024-08-25,2894.57,-79.88,-2.68
2024-08-27,2782.6,-111.96,-3.86
2024-08-28,2786.4,3.8,0.13
2024-08-29,2749.57,-36.83,-1.32
2024-09-01,2695.93,-53.63,-1.95
2024-09-02,2823.25,127.32,4.72
2024-09-03,2830.16,6.9,0.24
2024-09-04,2739.46,-90.73,-3.2
2024-09-05,2727.36,-12.1,-0.44
2024-09-08,2701.9,-25.46,-0.93
2024-09-09,2646.03,-55.86,-2.06
2024-09-10,2632.94,-13.09,-0.49
2024-09-11,2610.21,-22.73,-0.86
2024-09-12,2688.53,78.31,3.0
2024-09-15,2637.79,-50.73,-1.88
2024-09-16,2580.76,-57.03,-2.16
2024-09-18,2576.76,-4.0,-0.15
2024-09-22,2588.35,11.58,0.44
2024-09-23,2529.33,-59.02,-2.28
2024-09-24,2470.39,-58.93,-2.33
2024-09-25,2519.57,49.18,1.99
2024-09-26,2486.76,-32.81,-1.3
2024-09-29,2464.4,-22.36,-0.89
2024-09-30,2508.86,44.45,1.8
2024-10-01,2623.56,114.7,4.57
2024-10-02,2597.49,-26.07,-0.99
2024-10-06,2653.58,56.09,2.15
2024-10-07,2690.72,37.13,1.39
2024-10-08,2663.32,-27.39,-1.01
2024-10-09,2668.17,4.85,0.18
2024-10-15,2699.66,31.48,1.17
2024-10-16,2742.88,43.22,1.6
2024-10-17,2745.36,2.47,0.09
2024-10-20,2697.91,-47.44,-1.72
2024-10-21,2639.92,-57.99,-2.14
2024-10-22,2665.81,25.88,0.98
2024-10-23,2645.39,-20.41,-0.76
2024-10-24,2627.14,-18.25,-0.68
2024-10-27,2617.95,-9.19,-0.34
2024-10-28,2645.36,27.41,1.04
2024-10-29,2692.05,46.69,1.76
2024-10-30,2677.62,-14.43,-0.53
2024-11-05,2677.4,-0.21,0.0
2024-11-06,2675.51,-1.88,-0.07
2024-11-10,2738.06,62.54,2.33
2024-11-11,2760.21,22.14,0.8
2024-11-12,2748.96,-11.24,-0.4
2024-11-13,2734.83,-14.12,-0.51
2024-11-14,2748.78,13.95,0.51
2024-11-17,2753.76,4.98,0.18
2024-11-19,2702.65,-51.11,-1.85
2024-11-20,2711.75,9.09,0.33
2024-11-21,2680.44,-31.31,-1.15
2024-11-24,2667.4,-13.03,-0.48
2024-11-25,2683.24,15.83,0.59
2024-11-26,2716.66,33.41,1.24
2024-11-27,2756.36,39.7,1.46
2024-11-28,2748.05,-8.3,-0.3
2024-12-01,2738.06,-9.99,-0.36
2024-12-02,2758.04,19.97,0.72
2024-12-03,2775.85,17.8,0.64
2024-12-04,2750.87,-24.97,-0.89
2024-12-05,2734.93,-15.93,-0.57
2024-12-08,2689.0,-45.93,-1.67
2024-12-09,2676.15,-12.84,-0.47
2024-12-10,2669.82,-6.32,-0.23
2024-12-11,2715.71,45.88,1.71
2024-12-12,2682.29,-33.42,-1.23
2024-12-16,2630.91,-51.37,-1.91
2024-12-17,2633.87,2.95,0.11
2024-12-18,2628.26,-5.6,-0.21
2024-12-19,2596.82,-31.43,-1.19
2024-12-22,2583.29,-13.53,-0.52
2024-12-23,2612.2,28.91,1.11
2024-12-24,2626.31,14.11,0.54
2024-12-26,2630.71,4.19,0.15
2024-12-29,2609.58,-21.12,-0.8
2024-12-31,2576.5,-33.08,-1.26
2025-01-01,2581.6,5.1,0.19
2025-01-02,2586.23,4.63,0.17
2025-01-05,2591.56,5.32,0.2
2025-01-06,2640.68,49.12,1.89
2025-01-07,2646.84,6.16,0.23
2025-01-08,2653.23,6.38,0.24
2025-01-09,2635.09,-18.14,-0.68
2025-01-12,2609.67,-25.41,-0.96
2025-01-13,2594.13,-15.54,-0.59
2025-01-15,2595.96,1.83,0.07
2025-01-16,2588.62,-7.33,-0.28
2025-01-19,2601.21,12.58,0.48
2025-01-20,2607.99,6.78,0.26
2025-01-21,2613.08,5.08,0.19
2025-01-22,2665.45,52.36,2.0
2025-01-23,2654.35,-11.1,-0.41
2025-01-26,2643.93,-10.41,-0.39
2025-01-27,2633.27,-10.66,-0.4
2025-01-28,2657.77,24.5,0.93
2025-02-02,2727.58,69.8,2.62
2025-02-03,2730.0,2.41,0.08
2025-02-04,2715.91,-14.08,-0.51
2025-02-05,2711.45,-4.45,-0.16
2025-02-06,2699.81,-11.64,-0.42
2025-02-09,2688.31,-11.49,-0.42
2025-02-10,2677.32,-10.98,-0.4
2025-02-11,2683.86,6.54,0.24
2025-02-12,2685.73,1.86,0.06
2025-02-13,2678.47,-7.26,-0.27
2025-02-16,2698.03,19.56,0.73
2025-02-17,2727.91,29.87,1.1
2025-02-18,2740.59,12.68,0.46
2025-02-20,2743.74,3.14,0.11
2025-02-23,2755.4,11.66,0.42
2025-02-24,2758.75,3.35,0.12
2025-02-25,2765.88,7.13,0.25
2025-02-27,2815.04,49.15,1.77
2025-03-02,2890.28,75.24,2.67
2025-03-03,2876.66,-13.62,-0.47
2025-03-04,2846.3,-30.36,-1.05
2026-03-17,2796.68,,
