Date,Close,Absolute Change,Percentage Change,RSI_14,SMA_50,Bollinger_Width,Target_Next_Day_Up
2020-08-09,1392.68,11.31,0.82,49.80914691256842,1387.504,12.300928224926867,1
2020-08-10,1430.41,37.74,2.71,56.09446015872478,1386.0294000000001,11.343905702252709,0
2020-08-11,1423.81,-6.61,-0.46,54.8016411539173,1384.4620000000002,10.211611942175534,1
2020-08-12,1425.32,1.51,0.11,55.056851889919876,1382.0646,8.986276467443169,0
2020-08-13,1408.79,-16.53,-1.16,51.62063768372231,1378.3178,8.087920871579628,0
2020-08-16,1391.46,-17.33,-1.23,48.22258773570835,1373.5035999999998,8.14469854168179,1
2020-08-17,1402.21,10.75,0.77,50.40356644392545,1369.7205999999999,7.605330485447019,1
2020-08-18,1407.89,5.68,0.41,51.56447927775448,1367.9724,7.201386408470823,0
2020-08-19,1391.29,-16.6,-1.18,48.026353911973175,1365.6047999999998,7.1890008885685805,1
2020-08-20,1397.57,6.28,0.45,49.43976313100901,1364.7322,7.244624765309014,1
2020-08-23,1410.34,12.77,0.91,52.28152219109624,1364.225,7.059750723266527,1
2020-08-24,1431.6,21.26,1.51,56.64994670397414,1365.8708000000001,6.385163145107593,1
2020-08-25,1440.94,9.34,0.65,58.44957186479403,1366.2278,5.839291854238505,1
2020-08-26,1462.03,21.1,1.46,62.25948146017211,1367.9247999999998,6.059587572163895,0
2020-08-27,1458.04,-4.0,-0.27,61.11768920619115,1370.8248,6.584012179587127,1
2020-08-30,1462.67,4.64,0.32,61.98882462321032,1373.7504000000001,7.081160515399837,1
2020-08-31,1484.99,22.31,1.53,65.94938343230716,1378.009,8.141392791749947,1
2020-09-02,1510.57,25.58,1.72,69.82929366989214,1383.1044,9.76035859458725,0
2020-09-03,1510.42,-0.15,-0.01,69.77908284489598,1387.9268,10.62505838351608,0
2020-09-06,1499.97,-10.45,-0.69,66.20737605825646,1392.8972,10.859110943291377,0
2020-09-07,1487.81,-12.17,-0.81,62.216587685996146,1398.1303999999998,10.84750279205299,1
2020-09-08,1495.15,7.35,0.49,63.641238945262266,1404.0020000000002,11.25575462552866,1
2020-09-09,1508.2,13.05,0.87,66.08941058352308,1410.392,11.747702130101791,1
2020-09-10,1520.69,12.49,0.83,68.29012612816533,1415.5908000000002,12.346879371947095,1
2020-09-13,1537.25,16.56,1.09,70.97930085425942,1419.6054000000001,12.89233837161091,1
2020-09-14,1540.51,3.26,0.21,71.49184997512725,1425.2934,12.900194808319945,0
2020-09-15,1536.03,-4.47,-0.29,69.67079324785294,1430.705,12.755796425032202,1
2020-09-16,1541.4,5.36,0.35,70.63630722646187,1435.5584,12.567678750252846,1
2020-09-17,1572.18,30.78,2.0,75.45880683572638,1440.2688,12.272500066050238,1
2020-09-20,1575.18,3.0,0.19,75.87469039078381,1445.2418000000002,11.752060383197882,0
2020-09-21,1569.06,-6.12,-0.39,73.15128142413695,1449.9976000000001,11.022469392393221,0
2020-09-22,1546.15,-22.91,-1.46,63.90421856123869,1454.1147999999998,10.177606399244835,1
2020-09-23,1555.52,9.37,0.61,65.80795213728311,1458.3772,9.424272432836437,1
2020-09-24,1561.27,5.74,0.37,66.95956988885973,1462.6538,9.040278574887429,1
2020-09-27,1565.55,4.29,0.27,67.82816947456188,1466.7179999999998,8.39349672034068,0
2020-09-28,1560.83,-4.73,-0.3,65.77457407325755,1470.0392,7.538539862903358,0
2020-09-29,1553.62,-7.21,-0.46,62.65402024046081,1471.531,6.998660978734887,0
2020-09-30,1550.43,-3.19,-0.21,61.269004964341136,1473.2407999999998,6.836509642512356,1
2020-10-01,1571.04,20.61,1.33,66.43201413235829,1475.6628,6.818696637998347,1
2020-10-04,1585.75,14.71,0.94,69.55180288781263,1478.7290000000003,6.728689868399678,0
2020-10-05,1582.12,-3.63,-0.23,67.87535275294158,1481.5192000000002,6.014726433856535,1
2020-10-06,1586.29,4.17,0.26,68.80554718042669,1483.943,5.306800326432023,1
2020-10-07,1600.97,14.68,0.93,71.89123390155191,1486.7128,5.074190869755938,0
2020-10-08,1589.63,-11.34,-0.71,66.42512218261365,1489.4076,4.733657705043782,0
2020-10-11,1576.27,-13.37,-0.84,60.58102695308023,1492.3026,4.500029125463895,1
2020-10-12,1578.01,1.74,0.11,61.06152468050389,1495.0816,4.281397661063965,0
2020-10-13,1568.59,-9.42,-0.6,57.00995712680943,1498.5278,3.851040399860601,0
2020-10-14,1561.17,-7.42,-0.47,53.972132463649984,1501.674,3.5232463794480195,1
2020-10-15,1562.46,1.29,0.08,54.426797984647344,1505.27,3.5503650287332613,0
2020-10-18,1556.8,-5.66,-0.36,51.9997208266986,1508.7786,3.6115678942869573,1
2020-10-19,1570.38,13.58,0.87,56.95902679168979,1512.3325999999997,3.6121409301977248,1
2020-10-20,1583.6,13.22,0.84,61.165439691670336,1515.3964,3.4282818508114787,1
2020-10-21,1597.71,13.94,0.88,65.08731117043942,1518.8744,3.6002004988142358,1
2020-10-22,1606.25,8.54,0.53,67.24350561476987,1522.4930000000002,3.960112344386678,1
2020-10-28,1647.45,41.2,2.57,75.20081247738969,1527.2662,5.556579918602419,0
2020-10-29,1645.67,-1.78,-0.11,74.36035142560465,1532.3504,6.514089867422605,0
2020-11-01,1640.95,-4.72,-0.29,72.06050395273273,1537.1252,6.965022526281019,0
2020-11-02,1637.63,-3.33,-0.2,70.4109052844085,1541.72,7.093808723857569,1
2020-11-03,1643.03,5.4,0.33,71.5516246923806,1546.7548000000002,7.475456246641464,0
2020-11-04,1640.64,-2.39,-0.15,70.2605612270051,1551.6162,7.817588172785158,0
2020-11-05,1636.17,-4.47,-0.27,67.7966194745668,1556.1328,7.996722994855027,1
2020-11-08,1648.58,12.49,0.76,70.85270829068462,1560.4723999999999,8.322942304889194,1
2020-11-09,1652.8,4.22,0.26,71.83163787998896,1564.7096000000001,8.705590710778063,1
2020-11-10,1678.79,25.98,1.57,76.96324176008342,1569.0448000000001,9.433171088931493,1
2020-11-11,1707.67,28.89,1.72,81.08648823488625,1574.0374,10.486707674291402,1
2020-11-12,1718.49,10.82,0.63,82.36035095267465,1579.1538,11.471263336275896,1
2020-11-18,1741.81,23.32,1.36,84.74511473601187,1584.2902,12.52216309271687,1
2020-11-19,1778.12,36.32,2.08,87.56421762587946,1589.6412,13.915702866047358,1
2020-11-22,1782.81,4.69,0.26,87.87587937729674,1595.0890000000002,14.827465088226107,0
2020-11-23,1780.43,-2.38,-0.13,86.68857773363048,1600.6982,15.041890734000987,1
2020-11-24,1810.11,29.68,1.67,88.73300278867114,1607.1442000000002,15.702988086599964,1
2020-11-25,1874.81,64.7,3.57,91.71882408907398,1614.7374,17.669296516438408,1
2020-11-26,1893.24,18.43,0.98,92.34142444445209,1622.4382,19.469942208902268,1
2020-11-29,1968.27,75.02,3.96,94.24002054009456,1631.3898,22.518728639439253,1
2020-11-30,1997.05,28.79,1.46,94.77508302543049,1640.5857999999998,25.636989488264007,1
2020-12-01,2000.4,3.35,0.17,94.8352244514122,1649.7836000000002,27.79726738329082,1
2020-12-02,2071.02,70.62,3.53,95.90524054821965,1660.4834,30.58087787045485,0
2020-12-03,2055.45,-15.57,-0.75,91.40876454219115,1670.7644,31.977030634616217,0
2020-12-06,1932.11,-123.34,-6.0,65.29326479351465,1677.9630000000002,31.197294181101515,1
2020-12-07,2004.39,72.28,3.74,70.59512965393107,1686.5472,30.747911189499778,0
2020-12-08,1995.35,-9.04,-0.45,69.17188528586934,1695.0729999999999,29.620007737692696,0
2020-12-09,1955.75,-39.6,-1.98,63.16445264822479,1703.265,27.90198084513354,1
2020-12-10,1964.02,8.27,0.42,63.87015314765596,1711.435,25.85803740170047,1
2020-12-13,2010.45,46.43,2.36,67.62073107584521,1720.4186,24.184745000395324,1
2020-12-14,2067.17,56.72,2.82,71.51140887543401,1730.451,23.17530215411526,0
2020-12-15,2061.41,-5.75,-0.28,70.58386469191746,1740.4626,21.70413164777748,0
2020-12-16,2055.22,-6.2,-0.3,69.53999384482461,1750.4946,20.058925388429007,0
2020-12-17,2032.51,-22.7,-1.1,65.70094097226,1760.1362,18.44889733270074,0
2020-12-20,1935.63,-96.88,-4.77,52.40879018645896,1767.4279999999999,16.386854733883055,1
2020-12-21,1965.96,30.33,1.57,55.44769312775867,1775.0322,13.673274799652377,1
2020-12-22,2061.41,95.46,4.86,63.37395347146711,1784.618,11.446982600998707,1
2020-12-23,2068.45,7.04,0.34,63.88431207229727,1794.2612,10.390426749849418,0
2020-12-24,2038.63,-29.83,-1.44,60.06631122293033,1803.0144,9.098466339753632,0
2020-12-27,1998.65,-39.98,-1.96,55.294901401493355,1811.1948000000002,8.896101913975876,1
2020-12-28,2007.29,8.57,0.43,56.106372154080475,1819.8152,8.867376102263055,1
2020-12-29,2012.89,5.57,0.28,56.6555440929971,1828.5128,8.843133075709693,1
2020-12-30,2062.06,49.17,2.44,61.24094115477594,1838.3822,8.74046253961143,1
2020-12-31,2087.27,25.21,1.22,63.37998288078014,1848.9042000000002,9.128634379576916,1
2021-01-03,2175.39,88.12,4.22,69.67903712560124,1861.1628,10.605049970747627,0
2021-01-04,2169.04,-6.36,-0.29,68.76116130729507,1873.4075999999998,12.093522583458512,0
2021-01-05,2165.49,-3.54,-0.16,68.22011610154948,1885.3098,13.078357601364907,1
2021-01-06,2178.57,13.07,0.6,69.18229261511553,1897.2092000000002,13.542957580762424,1
2021-01-07,2194.48,15.91,0.73,70.3578901763548,1909.1445999999999,14.020265224318774,1
2021-01-10,2235.72,41.24,1.88,73.21058158983874,1921.734,15.368722158474801,1
2021-01-11,2239.42,3.7,0.17,73.45738837000842,1933.5734,16.695514863771617,1
2021-01-12,2267.73,28.31,1.26,75.33015254799697,1946.0146,18.16942891546972,1
2021-01-13,2286.54,18.81,0.83,76.51578245442232,1958.9264,19.562255088604715,1
2021-01-17,2315.0,28.46,1.24,78.22126076261435,1972.4738,20.863620145388783,1
2021-01-18,2332.31,17.31,0.75,79.2101949215971,1986.2594,20.69632147265525,0
2021-01-19,2326.9,-5.57,-0.24,78.01781864382595,1999.9846,20.35081081677204,1
2021-01-20,2342.76,15.87,0.68,79.01512641633647,2014.1164,21.001375687383923,1
2021-01-21,2374.64,31.87,1.36,80.89175777153432,2028.6376,21.780390137176237,1
2021-01-24,2424.84,50.2,2.11,83.40794461693443,2044.0783999999999,22.4953700046115,1
2021-01-25,2440.87,16.04,0.66,84.12673602429959,2059.32,22.235980519718556,0
2021-01-26,2423.09,-17.79,-0.73,79.98761293080548,2073.6284,21.207142633008516,1
2021-01-27,2441.85,18.76,0.77,81.04719259117905,2088.0956,19.83401520445391,0
2021-01-28,2425.29,-16.55,-0.68,77.16338103797133,2101.7652,18.530492278162473,0
2021-01-31,2370.54,-54.75,-2.26,65.91670605077435,2113.6136,16.705761569845095,1
2021-02-01,2408.24,37.7,1.59,69.24119065714684,2126.1222,16.188064360037913,1
2021-02-02,2473.73,65.49,2.72,73.98775087063197,2139.9882000000002,15.959471512432453,0
2021-02-03,2466.92,-6.81,-0.28,72.73089575917771,2153.1244,15.159807720139714,1
2021-02-04,2475.26,8.34,0.34,73.32844991184453,2165.1334,14.223839123501042,1
2021-02-07,2524.0,48.74,1.97,76.56102858737,2177.7486,13.71389733130258,1
2021-02-08,2561.47,37.48,1.48,78.6984712402211,2189.6126,13.971694329975993,0
2021-02-09,2534.37,-27.11,-1.06,73.47941593607386,2200.359,13.393662818745938,1
2021-02-10,2543.03,8.66,0.34,74.07117074406592,2211.2116,12.966410128880792,0
2021-02-11,2526.92,-16.11,-0.63,70.90176326420352,2220.3296,12.288821621801024,0
2021-02-14,2493.59,-33.33,-1.32,64.73065289702103,2229.0924,11.504157911936632,1
2021-02-15,2586.01,92.42,3.71,72.00643682366785,2242.1704,11.656668696830886,1
2021-02-16,2601.51,15.5,0.6,73.01198689826242,2254.1128,11.564712497207914,1
2021-02-17,2611.45,9.94,0.38,73.66528810771436,2266.4348,11.45494589900303,1
2021-02-18,2636.68,25.23,0.97,75.2996958129007,2280.0534,11.792516425290426,1
2021-02-21,2640.34,3.66,0.14,75.53688349526658,2293.5798,12.393505529926037,0
2021-02-22,2607.67,-32.67,-1.24,69.15342206914164,2305.5242000000003,12.535874154466278,0
2021-02-23,2586.51,-21.16,-0.81,65.30406160799598,2315.911,12.215281839730347,1
2021-02-24,2599.07,12.56,0.49,66.49620253818975,2326.6642,12.027799183920568,0
2021-02-25,2554.13,-44.94,-1.73,58.721651256474715,2336.6423999999997,11.35223614471976,0
2021-02-28,2474.39,-79.74,-3.12,47.998266525402535,2345.48,9.87510741153793,1
2021-03-01,2515.03,40.64,1.64,52.73556006184776,2357.0679999999998,8.628096959842631,0
2021-03-02,2455.33,-59.7,-2.37,46.092769051129316,2366.8554,8.852960840988743,0
2021-03-03,2416.0,-39.23,-1.6,42.31148267950863,2373.9472,9.589684719935008,1
2021-03-04,2506.68,90.67,3.75,52.073783082076574,2382.7118,9.350993492387321,0
2021-03-07,2485.09,-21.58,-0.86,49.908268523838,2391.641,9.577079024356788,0
2021-03-09,2461.88,-23.22,-0.93,47.61581579567342,2400.9056,10.006009568204984,0
2021-03-10,2458.48,-3.4,-0.14,47.27325954675338,2409.9294,10.42173796736304,0
2021-03-14,2407.25,-51.23,-2.08,42.33157300634282,2417.8166,11.373480320521985,0
2021-03-15,2389.19,-18.07,-0.75,40.71572720228427,2424.3592000000003,12.416435939352477,1
2021-03-16,2391.74,2.56,0.11,41.057839492749565,2430.4485999999997,13.232656596157383,1
2021-03-17,2432.14,40.4,1.69,46.34104227484316,2435.5836,13.3654932850045,1
2021-03-18,2475.09,42.95,1.77,51.33509993020203,2441.7046,13.034263145866298,1
2021-03-21,2538.46,63.38,2.56,57.60462977044833,2449.1639999999998,12.531203056503134,0
2021-03-22,2514.39,-24.08,-0.95,54.720932325807524,2455.8804,11.558403183181053,1
2021-03-23,2528.95,14.57,0.58,56.150889588933204,2462.5697999999998,10.380290623167351,1
2021-03-24,2570.25,41.3,1.63,60.00889106324784,2469.2603999999997,9.9115233289941,0
2021-03-25,2548.97,-21.29,-0.83,57.21556245560386,2475.4514,9.515605743414607,0
2021-03-29,2543.52,-5.45,-0.21,56.49030877990024,2480.9672,8.847287835108972,1
2021-03-30,2575.67,32.15,1.26,59.732921255627005,2486.7497999999996,9.095609835404563,1
2021-03-31,2619.03,43.36,1.68,63.66585779913388,2492.8304,10.203928431681334,1
2021-04-01,2631.89,12.86,0.49,64.76505789099826,2498.8219999999997,11.281804916110746,1
2021-04-04,2657.61,25.72,0.98,66.92049579239281,2505.4362,12.409807936096296,1
2021-04-05,2658.74,1.13,0.04,67.01596381204635,2511.7558,12.92335921751199,1
2021-04-06,2674.46,15.72,0.59,68.3829950263935,2517.7522,13.924421572507988,0
2021-04-07,2671.61,-2.85,-0.11,67.83408695310007,2522.6876,14.614298602517142,1
2021-04-08,2674.35,2.74,0.1,68.09920748293155,2527.3572,15.002225661036272,1
2021-04-12,2691.55,17.2,0.64,69.78290015770511,2532.7264,15.330693076102357,1
2021-04-13,2714.79,23.23,0.86,71.93802274398338,2538.1852,15.082242657272534,1
2021-04-15,2735.46,20.67,0.76,73.73245752462012,2544.3886,14.379212642522551,0
2021-04-18,2699.51,-35.89,-1.31,65.84600096352511,2550.968,12.839941414683468,0
2021-04-19,2661.93,-37.58,-1.39,58.76951168748657,2556.0418000000004,11.30341251320792,1
2021-04-20,2664.61,2.68,0.1,59.10703189875906,2559.8594,10.152096748249818,0
2021-04-21,2632.2,-32.41,-1.22,53.412558035881126,2563.165,9.632931291875604,1
2021-04-22,2648.0,15.8,0.6,55.65549467975778,2566.6198,8.675616467147558,0
2021-04-25,2572.22,-75.79,-2.86,44.571678223359065,2567.5842000000002,8.13351639953056,0
2021-04-26,2506.61,-65.58,-2.55,37.591438425124764,2566.487,9.014925552893626,1
2021-04-27,2599.07,92.46,3.69,49.57588927230199,2567.781,8.572686858613947,0
2021-04-28,2585.28,-13.79,-0.53,48.09252900591277,2568.6259999999997,8.117328627868423,1
2021-04-29,2611.1,25.82,1.0,51.046052959354064,2570.3096,7.851958454911764,1
2021-05-02,2665.11,54.0,2.07,56.60795537285792,2573.74,7.814348551271866,0
2021-05-03,2652.75,-12.35,-0.46,55.06608166688791,2575.0748000000003,7.7929611432582275,1
2021-05-04,2654.69,1.94,0.07,55.27201120551944,2576.1384,7.790239109364573,0
2021-05-05,2649.6,-5.09,-0.19,54.565429050372295,2576.9013999999997,7.783957131875467,0
2021-05-06,2637.13,-12.47,-0.47,52.785092774507454,2576.9104,7.742867112689744,0
2021-05-09,2618.56,-18.56,-0.7,50.160416564971925,2576.4748,7.750379096328097,1
2021-05-10,2645.85,27.41,1.05,53.796358711573,2577.2384,7.682266038175138,1
2021-05-11,2673.32,27.47,1.04,57.18248987532337,2578.9746,7.573707340747761,1
2021-05-12,2673.88,0.56,0.02,57.25127029766404,2580.4708,7.237331119153782,1
2021-05-13,2684.01,10.13,0.38,58.548421504992454,2583.0684,6.6328319932477235,1
2021-05-16,2738.29,54.21,2.02,64.72501845230684,2588.3464000000004,7.152775896589055,1
2021-05-17,2759.21,20.91,0.76,66.77958301523527,2593.23,8.150892120851742,1
2021-05-18,2793.89,34.68,1.26,69.90853188686546,2600.0012,9.507701511272433,0
2021-05-19,2780.81,-13.09,-0.47,67.3326129373257,2607.2974000000004,10.375570269397722,1
2021-05-20,2787.18,6.37,0.23,67.95194009952469,2612.9074,11.173998543744263,1
2021-05-23,2820.0,32.81,1.18,71.00231287756117,2619.6056,11.739123313495552,1
2021-05-24,2823.06,3.07,0.11,71.27681850276866,2626.8291999999997,11.058928627771241,0
2021-05-25,2816.56,-6.5,-0.23,69.76601351420703,2633.9908,11.222942357714242,0
2021-05-27,2815.39,-1.2,-0.04,69.48053040541795,2642.1535999999996,10.97397076303448,1
2021-05-30,2827.93,12.54,0.45,70.8570015179002,2650.9284,10.910544493784704,0
2021-05-31,2782.68,-45.25,-1.6,60.2902201878026,2658.7472000000002,10.830128712112407,0
2021-06-01,2771.15,-11.68,-0.42,57.92002507481826,2665.5274,10.537302459507028,1
2021-06-02,2827.12,55.76,2.01,65.09383750778636,2672.5679999999998,10.485657770913708,1
2021-06-03,2856.67,29.55,1.05,68.17833425320325,2678.9322,10.481218169670155,1
2021-06-06,2906.89,50.13,1.75,72.60834157651144,2686.7821999999996,10.660380026169708,0
2021-06-07,2906.7,-0.21,-0.01,72.56718081870827,2694.3372000000004,10.184921773127154,1
2021-06-08,2960.14,53.44,1.84,76.5873548931118,2702.135,10.45823457768633,0
2021-06-09,2946.58,-13.56,-0.46,73.63847472056841,2710.0872000000004,10.483431322734285,0
2021-06-10,2944.78,-1.8,-0.06,73.23536949240014,2718.1124,10.134025453319584,1
2021-06-13,2983.1,38.32,1.3,76.21983270968268,2726.2610000000004,10.040253739264147,1
2021-06-14,3025.82,42.72,1.43,79.02749980668183,2734.3968,10.86703803098531,0
2021-06-15,3022.1,-3.72,-0.12,78.16208716663759,2742.2009999999996,11.443547966971753,0
2021-06-16,2969.69,-52.41,-1.73,67.02574547070435,2748.4426000000003,11.51915462671738,0
2021-06-17,2968.43,-1.29,-0.04,66.7794082511393,2754.6364000000003,11.343172791218167,0
2021-06-20,2905.14,-63.28,-2.13,55.70476037497734,2759.25,10.864079603124015,0
2021-06-21,2834.4,-71.06,-2.45,46.435374605950535,2762.5058000000004,10.776037303172185,1
2021-06-22,2913.84,79.44,2.8,55.40894471498423,2767.2956,10.52752202124684,0
2021-06-23,2862.18,-51.65,-1.77,49.590756439089006,2770.7082,10.264676341188952,0
2021-06-24,2843.0,-16.96,-0.59,47.59261448063225,2773.2724,10.071488955965435,1
2021-06-27,2870.38,27.38,0.96,50.64954980070021,2775.9708,9.842483909324285,1
2021-06-28,2875.49,5.11,0.18,51.22141685416015,2779.4903999999997,9.10145656965663,0
2021-06-29,2828.0,-47.49,-1.65,45.898294389860524,2782.8118,8.409284328898451,0
2021-06-30,2823.87,-4.13,-0.15,45.45587166530534,2785.9970000000003,8.441386132881437,1
2021-07-01,2843.0,19.12,0.68,47.958191733088476,2790.2130000000006,8.537840566015815,0
2021-07-04,2834.51,-8.48,-0.3,46.92919183439509,2793.9432,8.856625902492047,0
2021-07-05,2822.73,-11.78,-0.42,45.47134266393311,2798.9534000000003,9.232444300648185,0
2021-07-06,2818.1,-5.24,-0.19,44.88120355400595,2805.1832,9.417356929234476,0
2021-07-07,2801.13,-16.97,-0.6,42.69409678764285,2809.2244,9.721299206677507,1
2021-07-08,2825.1,23.97,0.86,46.648856463048986,2814.0208,9.759807923064034,1
2021-07-11,2899.82,74.71,2.64,56.68398131697709,2819.7952,9.267122213402285,0
2021-07-12,2854.76,-45.06,-1.55,50.51341802211636,2823.5882,8.045447473521211,1
2021-07-13,2871.03,16.34,0.57,52.52310235397491,2827.9538000000002,6.450913253231821,1
2021-07-14,2872.05,1.01,0.04,52.65291915369311,2832.301,5.501661940531846,1
2021-07-15,2883.38,11.33,0.39,54.15252929680466,2836.9766,4.326392459959312,1
2021-07-18,2980.61,97.21,3.37,64.53388068467729,2843.8462,5.61382437719282,1
2021-07-19,2994.58,13.97,0.47,65.73442270757394,2851.3666,6.910692966202241,0
2021-07-20,2985.57,-9.01,-0.3,64.22442262005787,2858.1610000000005,7.685878189714983,1
2021-07-22,3004.31,18.75,0.63,65.97511662078142,2864.7808,8.679466350098743,1
2021-07-25,3058.63,54.31,1.81,70.48388246177437,2872.4758,10.161969779497145,0
2021-07-26,3050.42,-8.24,-0.27,68.99571691185788,2879.8039999999996,11.232220986297405,1
2021-07-27,3079.67,29.24,0.96,71.31910384287173,2886.6316,12.438409311132235,1
2021-07-28,3094.94,15.3,0.5,72.47859720084756,2893.3462,13.321605947863144,0
2021-07-29,3079.83,-15.11,-0.49,69.4851099832558,2899.065,13.71426602760878,1
2021-08-01,3081.05,1.25,0.04,69.59430494842637,2905.0698,14.029516767482889,1
2021-08-02,3085.07,4.06,0.13,69.97556088427996,2911.0275999999994,14.115600988141134,1
2021-08-03,3111.09,26.02,0.84,72.38886401299584,2916.8494,14.094679995438828,1
